Complex ID,SMILES,Orig Rank,Model Conf,CNN Pose Score,Affinity (pK),Vina Score,File Path
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,11,-1.4,0.53792,6.78275,13.31971,results/complex_0/rank11_confidence-1.40.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,1,-0.07,0.51606,7.0077,-6.77595,results/complex_0/rank1_confidence-0.07.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,3,-0.44,0.48631,6.77715,-5.62703,results/complex_0/rank3_confidence-0.44.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,15,-1.64,0.46098,6.64105,7.27439,results/complex_0/rank15_confidence-1.64.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,4,-0.58,0.43872,6.50587,9.07832,results/complex_0/rank4_confidence-0.58.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,2,-0.42,0.43296,6.611,-2.4627,results/complex_0/rank2_confidence-0.42.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,5,-0.88,0.42061,6.67301,1.89516,results/complex_0/rank5_confidence-0.88.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,14,-1.57,0.41732,6.60288,6.98291,results/complex_0/rank14_confidence-1.57.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,12,-1.45,0.41664,6.56494,6.40142,results/complex_0/rank12_confidence-1.45.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,17,-1.97,0.39823,6.82561,7.36696,results/complex_0/rank17_confidence-1.97.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,7,-1.08,0.39496,6.48218,7.83925,results/complex_0/rank7_confidence-1.08.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,8,-1.17,0.39478,6.47732,6.04167,results/complex_0/rank8_confidence-1.17.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,6,-1.05,0.38568,6.7783,-0.98292,results/complex_0/rank6_confidence-1.05.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,10,-1.4,0.35449,6.53327,20.27654,results/complex_0/rank10_confidence-1.40.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,13,-1.52,0.35412,6.57255,-1.61005,results/complex_0/rank13_confidence-1.52.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,9,-1.29,0.35392,6.27708,13.88573,results/complex_0/rank9_confidence-1.29.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,16,-1.89,0.3467,6.34924,27.95652,results/complex_0/rank16_confidence-1.89.sdf
complex_1,O=C1NC(=O)C(F)=CN1,2,0.3,0.81322,3.84436,-3.49665,results/complex_1/rank2_confidence0.30.sdf
complex_1,O=C1NC(=O)C(F)=CN1,19,0.16,0.74798,3.70945,-2.18187,results/complex_1/rank19_confidence0.16.sdf
complex_1,O=C1NC(=O)C(F)=CN1,25,0.01,0.73308,3.71973,-0.91036,results/complex_1/rank25_confidence0.01.sdf
complex_1,O=C1NC(=O)C(F)=CN1,28,-0.66,0.68638,3.87136,12.08391,results/complex_1/rank28_confidence-0.66.sdf
complex_1,O=C1NC(=O)C(F)=CN1,29,-0.73,0.62201,3.69069,9.85341,results/complex_1/rank29_confidence-0.73.sdf
complex_1,O=C1NC(=O)C(F)=CN1,1,0.31,0.57151,3.51894,-3.16274,results/complex_1/rank1_confidence0.31.sdf
complex_1,O=C1NC(=O)C(F)=CN1,26,-0.02,0.56136,3.63244,2.47227,results/complex_1/rank26_confidence-0.02.sdf
complex_1,O=C1NC(=O)C(F)=CN1,7,0.27,0.51247,3.50244,-3.14493,results/complex_1/rank7_confidence0.27.sdf
complex_1,O=C1NC(=O)C(F)=CN1,5,0.28,0.46714,3.39072,-2.08024,results/complex_1/rank5_confidence0.28.sdf
complex_1,O=C1NC(=O)C(F)=CN1,11,0.23,0.4616,3.36589,-2.32967,results/complex_1/rank11_confidence0.23.sdf
complex_1,O=C1NC(=O)C(F)=CN1,13,0.21,0.43332,3.36028,-2.56394,results/complex_1/rank13_confidence0.21.sdf
complex_1,O=C1NC(=O)C(F)=CN1,27,-0.64,0.4332,3.51335,-1.40553,results/complex_1/rank27_confidence-0.64.sdf
complex_1,O=C1NC(=O)C(F)=CN1,18,0.2,0.41038,3.33626,-2.1518,results/complex_1/rank18_confidence0.20.sdf
complex_1,O=C1NC(=O)C(F)=CN1,9,0.24,0.40927,3.33757,-1.85637,results/complex_1/rank9_confidence0.24.sdf
complex_1,O=C1NC(=O)C(F)=CN1,10,0.23,0.40374,3.32638,-1.88828,results/complex_1/rank10_confidence0.23.sdf
complex_1,O=C1NC(=O)C(F)=CN1,17,0.2,0.40017,3.33774,-2.33347,results/complex_1/rank17_confidence0.20.sdf
complex_1,O=C1NC(=O)C(F)=CN1,15,0.21,0.39979,3.38613,-0.62995,results/complex_1/rank15_confidence0.21.sdf
complex_1,O=C1NC(=O)C(F)=CN1,16,0.2,0.39823,3.3165,-1.96275,results/complex_1/rank16_confidence0.20.sdf
complex_1,O=C1NC(=O)C(F)=CN1,14,0.21,0.39664,3.31909,-1.53395,results/complex_1/rank14_confidence0.21.sdf
complex_1,O=C1NC(=O)C(F)=CN1,22,0.13,0.39652,3.41902,0.05084,results/complex_1/rank22_confidence0.13.sdf
complex_1,O=C1NC(=O)C(F)=CN1,23,0.1,0.37222,3.34246,-1.89411,results/complex_1/rank23_confidence0.10.sdf
complex_1,O=C1NC(=O)C(F)=CN1,20,0.16,0.36958,3.31259,-0.65898,results/complex_1/rank20_confidence0.16.sdf
complex_1,O=C1NC(=O)C(F)=CN1,30,-1.32,0.34968,3.49659,-2.45235,results/complex_1/rank30_confidence-1.32.sdf
complex_1,O=C1NC(=O)C(F)=CN1,24,0.04,0.33219,3.33281,-0.57599,results/complex_1/rank24_confidence0.04.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,4,-0.48,0.53538,5.44065,6.6939,results/complex_2/rank4_confidence-0.48.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,5,-0.52,0.5149,5.21941,19.80583,results/complex_2/rank5_confidence-0.52.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,6,-0.67,0.48415,5.14425,-0.51051,results/complex_2/rank6_confidence-0.67.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,1,0.1,0.44305,5.30894,0.67328,results/complex_2/rank1_confidence0.10.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,11,-1.22,0.4279,5.29575,-1.32895,results/complex_2/rank11_confidence-1.22.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,19,-1.79,0.42649,5.2711,8.47895,results/complex_2/rank19_confidence-1.79.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,25,-1.99,0.42371,5.39395,-3.56329,results/complex_2/rank25_confidence-1.99.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,23,-1.88,0.41424,5.16603,-2.41306,results/complex_2/rank23_confidence-1.88.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,3,-0.15,0.4062,5.29168,8.32009,results/complex_2/rank3_confidence-0.15.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,9,-0.87,0.4036,5.26283,-3.5966,results/complex_2/rank9_confidence-0.87.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,24,-1.93,0.39719,5.26764,7.24856,results/complex_2/rank24_confidence-1.93.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,2,-0.08,0.39637,5.15818,-2.97433,results/complex_2/rank2_confidence-0.08.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,17,-1.51,0.39292,5.34855,-3.76106,results/complex_2/rank17_confidence-1.51.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,18,-1.73,0.36806,5.10591,0.38506,results/complex_2/rank18_confidence-1.73.sdf
complex_2,n1c(c(c(c2c1ccc(c2)Cl)c1ccccc1)C(=O)O)N1CCCCC1,16,-1.48,0.35906,4.87498,6.42344,results/complex_2/rank16_confidence-1.48.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,9,-1.25,0.559,6.68287,9.85306,results/complex_0/rank9_confidence-1.25.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,3,-0.54,0.5497,6.80693,2.47468,results/complex_0/rank3_confidence-0.54.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,10,-1.29,0.54734,6.81426,15.80099,results/complex_0/rank10_confidence-1.29.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,11,-1.4,0.53646,6.78906,13.31971,results/complex_0/rank11_confidence-1.40.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,4,-0.72,0.53397,6.98296,4.77922,results/complex_0/rank4_confidence-0.72.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,1,-0.07,0.52499,7.01372,-6.77595,results/complex_0/rank1_confidence-0.07.sdf
complex_0,CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C,3,-0.44,0.47729,6.76693,-5.62703,results/complex_0/rank3_confidence-0.44.sdf
